357,377,179,4,1,2,0,3
209,33,137,127,129,132,110,217
50,238,150,458,465,5,83,4
108,235,14,49,57,119,68,171
50,370,174,288,137,458,100,486
242,163,145,301,166,483,90,272
2,3,0,348,320,1,163,298
179,50,114,405,31,77,207,0
370,188,348,150,319,399,81,0
282,476,405,89,163,256,2,6
349,43,62,210,396,12,1,3
80,6,57,238,109,360,2,7
128,32,42,27,376,64,431,6
326,423,12,283,67,367,32,1
331,93,506,135,2,6,5,0
356,100,222,243,444,133,47,338
115,162,217,300,385,192,111,2
492,103,319,135,272,186,104,2
491,200,111,276,151,460,6,221
270,169,97,125,191,518,234,249
224,64,437,516,375,14,88,4
509,427,139,415,278,426,479,61
121,440,406,518,129,408,93,48
105,258,182,429,147,74,348,4
