147,62,67,4,0,2,7,3
12,103,27,181,144,139,62,72
55,116,76,78,124,72,36,199
262,1,240,37,168,46,103,224
1,146,239,2,34,101,188,81
80,2,210,9,5,30,242,219
201,196,145,69,173,237,52,0
144,229,5,163,10,129,169,228
22,142,211,214,12,223,1,3
148,8,134,138,217,2,11,155
0,147,15,5,250,4,184,148
220,163,256,217,1,0,3,4
248,138,88,29,45,187,232,65
225,223,69,118,182,211,1,5
259,97,262,95,7,50,106,123
139,171,172,174,123,55,262,116
80,255,262,88,170,60,2,190
53,139,77,257,237,11,171,86
209,257,224,222,136,262,97,0
70,225,12,71,238,208,63,1
116,146,97,20,173,77,214,2
148,226,123,22,237,240,161,83
252,120,189,257,121,78,227,245
171,136,48,54,104,204,173,187
