25,257,190,262,1,0,5,3
69,74,141,252,186,117,205,24
9,204,121,65,88,249,168,7
246,139,149,198,154,203,218,98
17,136,157,225,148,135,81,222
21,222,86,247,70,185,145,48
4,1,0,7,62,233,152,43
218,1,222,152,6,126,130,147
227,230,98,192,76,147,2,42
126,7,92,116,69,151,106,143
86,228,121,179,87,7,0,156
216,244,77,29,23,5,108,141
201,28,216,35,158,6,69,250
116,178,198,173,245,136,61,3
147,76,131,104,9,0,229,1
222,88,254,198,107,45,34,2
229,11,138,165,6,99,59,198
125,144,85,165,245,216,236,4
255,67,258,74,119,14,253,1
111,134,239,153,29,146,103,4
21,119,189,153,83,262,214,2
53,201,164,258,79,171,74,7
151,206,121,46,128,2,0,7
263,102,97,47,164,244,111,7
