155,64,232,166,48,158,2,6
191,102,252,37,42,169,180,3
213,175,209,155,142,246,158,4
34,36,76,133,161,149,5,62
95,165,157,215,244,96,131,6
76,98,144,5,198,35,255,40
72,117,205,35,37,182,69,1
26,105,128,187,23,186,193,89
36,71,190,122,12,233,196,1
212,155,189,186,95,209,198,4
0,51,230,219,52,61,188,244
218,144,44,253,123,98,92,3
79,0,36,63,252,166,224,158
169,2,32,187,152,44,21,47
254,31,188,140,83,40,179,77
5,198,105,179,50,139,59,230
174,160,196,124,229,19,98,5
134,12,15,123,59,50,203,6
241,140,229,32,106,4,263,228
83,182,188,72,92,246,250,1
103,217,211,160,202,175,167,68
100,99,23,235,43,35,119,2
112,33,158,231,141,178,172,157
106,118,0,116,119,57,26,87
