197,185,58,77,0,5,7,127
250,231,56,192,75,0,77,4
152,234,219,31,155,208,251,174
102,3,6,28,131,140,33,232
185,244,207,0,211,55,152,12
212,213,152,83,139,121,221,0
123,159,142,232,58,119,5,224
108,52,153,158,40,3,1,4
254,232,113,241,121,105,103,0
245,89,27,156,20,135,30,4
98,131,218,254,6,5,214,0
135,206,60,246,57,173,20,7
150,59,54,156,53,219,6,1
81,194,71,41,248,36,203,44
51,245,44,223,261,111,166,0
50,263,97,64,209,140,259,183
164,119,98,209,250,223,3,253
157,19,227,176,202,86,0,183
258,96,170,132,113,13,57,7
217,245,66,51,229,162,187,3
106,27,257,55,81,37,2,130
120,168,40,156,116,93,137,6
228,19,13,100,262,221,184,34
112,32,62,69,222,116,195,56
