203,18,229,12,1,4,3,5
190,225,73,50,27,42,115,133
164,130,24,140,205,70,155,119
233,117,75,224,89,10,119,58
0,196,5,2,243,4,103,183
152,166,66,54,23,162,97,232
239,63,46,2,1,166,257,238
182,243,103,99,167,10,110,148
100,220,148,11,81,198,185,83
253,1,12,20,131,30,249,163
212,1,166,258,206,245,239,68
35,45,28,2,69,5,3,259
105,170,144,8,24,156,159,17
212,262,126,30,2,198,29,8
191,100,182,62,178,146,204,60
243,12,106,78,117,167,4,18
97,261,60,98,210,1,56,5
260,103,95,43,175,164,219,5
11,175,166,142,170,173,242,66
154,155,67,260,216,95,243,55
141,12,79,34,226,223,65,2
64,38,110,44,143,197,30,201
56,170,77,75,118,51,3,4
18,236,245,191,20,43,190,115
