377,742,179,4,1,2,0,3
726,566,683,760,110,586,621,217
711,418,57,49,712,86,499,341
66,704,636,481,695,626,106,168
446,598,112,85,158,203,105,2
598,255,713,698,249,636,754,224
57,61,337,592,376,270,582,283
135,196,22,221,103,133,591,80
141,11,493,235,227,448,260,10
2,447,61,398,711,663,34,286
217,83,494,3,6,4,488,691
669,661,472,182,607,210,289,526
61,176,72,548,753,336,2,3
379,129,528,659,758,404,0,4
168,634,27,81,44,18,544,203
613,610,2,232,3,46,1,263
0,188,150,447,496,108,6,78
373,244,4,560,81,209,1,529
460,293,444,225,68,216,96,257
39,82,98,387,89,741,478,72
512,573,414,671,100,762,277,601
204,194,24,211,457,41,682,32
312,67,714,562,626,646,568,3
339,37,400,140,399,104,144,2
