273,413,19,135,290,344,275,6
76,80,21,157,132,248,72,0
137,90,42,18,97,121,192,28
452,95,184,255,248,14,189,4
359,266,489,280,328,2,473,50
235,211,174,499,247,136,168,2
249,196,106,490,184,201,278,0
170,130,191,471,500,348,34,349
399,273,351,478,86,186,298,5
61,30,136,210,360,184,5,164
344,245,516,21,177,38,511,5
77,236,501,85,355,24,362,225
67,449,280,224,457,284,40,442
103,215,508,149,65,42,10,245
399,381,255,273,97,37,503,1
499,337,62,303,143,503,480,439
255,126,219,162,322,279,387,0
61,100,437,363,138,27,366,324
145,364,109,474,318,186,486,2
412,195,84,52,253,132,123,48
411,402,321,232,43,187,165,312
519,65,511,278,131,103,433,2
133,82,310,129,450,354,379,3
81,506,140,434,5,157,239,498
