439,183,425,169,234,490,2,3
226,214,476,511,31,220,439,1
316,248,51,456,288,90,375,6
515,443,60,345,278,150,368,1
90,375,436,429,398,393,511,245
506,86,33,353,167,249,410,14
417,62,34,182,76,136,59,371
338,58,3,108,464,308,34,441
17,291,244,299,483,508,187,4
311,442,492,148,305,494,269,1
117,268,209,68,266,140,53,2
415,230,297,295,130,134,288,4
296,185,141,142,63,266,405,1
118,176,368,130,500,11,45,5
181,474,176,242,514,215,1,236
192,201,373,86,45,459,223,6
396,335,91,409,299,152,0,249
294,490,253,463,94,408,479,23
418,427,434,393,323,406,272,362
137,420,441,511,212,347,480,30
280,79,60,82,135,193,237,463
104,219,204,378,51,286,112,516
125,360,53,192,21,253,239,5
517,233,513,89,505,406,323,3
