258,2,280,6,0,1,5,4
248,222,250,137,10,150,98,174
376,519,45,53,109,4,316,278
3,1,440,381,0,478,157,393
63,3,1,275,0,339,76,5
270,165,387,72,32,173,450,1
116,189,43,35,83,1,229,155
291,52,228,395,365,416,460,1
307,396,164,400,500,272,316,4
118,38,184,410,160,76,5,153
97,357,122,63,517,60,5,6
123,289,291,87,446,196,140,5
257,303,236,54,96,255,237,6
463,276,416,311,231,138,6,185
340,21,51,148,279,283,446,7
80,420,213,138,265,276,488,416
415,196,35,378,456,11,5,6
64,25,165,445,156,454,1,0
325,201,378,160,407,459,177,3
180,284,378,333,163,347,383,3
36,281,477,38,241,295,296,193
296,191,125,292,207,457,140,5
517,418,306,89,344,77,65,0
39,435,136,77,143,40,308,15
