0,390,259,449,2,3,4,1
324,14,434,3,394,0,421,6
378,103,139,297,316,4,9,5
4,364,93,2,1,474,3,0
119,1,6,2,4,0,3,9
205,82,311,4,7,5,0,203
92,6,41,5,0,2,184,147
41,413,137,0,2,103,4,23
107,123,198,201,189,43,0,1
13,169,279,84,306,176,414,6
27,416,33,7,0,189,430,5
46,81,282,69,26,22,0,2
0,107,369,445,2,1,282,74
22,1,5,4,147,6,3,0
301,200,340,73,253,0,156,242
69,169,333,340,198,3,0,6
407,3,258,375,154,127,53,85
125,66,299,439,14,3,0,222
21,397,1,123,2,3,5,0
4,257,6,115,5,7,317,29
76,68,19,307,326,5,3,4
8,296,0,434,3,94,33,178
160,463,0,159,176,6,3,5
288,249,102,142,237,7,4,0
